itemfield0,itemfield1,itemfield2,itemfield3,itemfield4,itemfield5,itemfield6,itemfield7,itemfield8,itemfield9,itemfield10,itemfield11,itemfield12,itemfield13,itemfield14,itemfield15,itemfield16,itemfield17,itemfield18,itemfield19,itemfield20,itemfield21,itemfield22,itemfield23,itemfield24,itemfield25,itemfield26,itemfield27,itemfield28,itemfield29,itemfield30,itemfield31,itemfield32,itemfield33,itemfield34,itemfield35,itemfield36
F00302,"The teaching of the catholic Church",NULL,"Burns, Oates & Washbourne",NULL,NULL,1948,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 185 .T4",NULL,London,"2v. ; 23cm.","a summary of the Catholic doctrine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00303,"Apologia pro vita sua","NEWMAN, John Henry Cardinal",Doubleday,NULL,NULL,1956,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQ 7453 .A6",NULL,"New York","440p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00304,"The Catholic Church in the modern world","HALES, Edward Elton Young","Image Books, Doubleday & Co.",NULL,NULL,1960,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQX 1023 .H3",NULL,"New York","314p. ; 18cm.","a survey from the French Revolution to the present",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00305,"God's revelation","WILCKENS, Ulrich","Sheed and Ward",NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BS 2330 .2 .W513",NULL,London,"112p. ; 18cm.","a way through the New Testament",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00306,"Societal groeth",NULL,"The Free Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:36,NULL,"includes bibliographical references and indexes ; A publication of the American Sociological Association ; Papers presented at the annual meeting of the American Sociological  Association held Sept. 4-8, 1978 in San Francisco",NULL,NULL,"HN 3 .S6 1979",0-02-914200-8,"New York","xii,388p. ; 24cm.","processes and implications",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00307,"Tempo di comunione","DEBERNARDI, Pier Giorgio","Libreria Editrice Rogate",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQT 317 .D4 ; BQT 354 .D4",NULL,Roma,"255p. ; 21cm.","la vocazione comunitaria della Chiesa nel magistero di Paolo VI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00308,Fundamentalism,"BARR, James","SCM Press",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQT 207 .B37",334-00522-1,London,"379p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00309,"PROBLEMI e prospettive di diritto canonico","BERTONE, Tarcisio...et al.",Queriniana,NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQV 216 .P7",NULL,Brescia,"405p. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00310,"La fede nel pluralismo della cultura","CABESTRERO, Teofilo","Cittadella Editrice",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliographical notes ; Original title: Conversaciones sobre la Fe.",NULL,NULL,"BQ 80 .C3",NULL,Assisi,"315p. ; 20cm.","conversazioni con sedici teologi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00311,"INCHIESTA SUI SEMINARI D'ITALIA","ALONSO, Joaquin...et al.","Editrice Rogate",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendix",NULL,NULL,"BQX 196 .I5",NULL,Roma,"191p. ; ill. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00312,"Un nuovo volto di Dio?","CANTONE, C. ...et al.",LAS,NULL,NULL,1976,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 514 .N8",NULL,Roma,"135p. ; 24cm.","Il processo al teismo nella teologia contemporanea",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00313,"Pastorale giovanile oggi","TONELLI, Riccardo",LAS,NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQT 2938 .T6",88-213-0000-5,Roma,"318p. ; 24cm.","ricerca teologica e orientamenti metodologici",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00314,"Intelletto e volonta' nei consenso matrimoniale indiritto canonico","CARULLI, Ombretta Fumagalli","Universita' Cattolica del Sacro Cuore",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indexes",NULL,NULL,"BQV 230 .1081 .C3",NULL,Milano,"xxvii, 457p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00315,"Il Dio di Gesu' Cristo","RATZINGER, Joseph",Queriniana,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: Der Gott Jesu Christi: Betrachtungen uber den Dreienigen  Gott.",NULL,NULL,"BQT 572 .R3713",NULL,Brescia,"86p. ; 21cm.","meditazione sul Dio uno e trino",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00316,"Le Strutture comunitarie della nuova parrocchia","MAZZOLENI, Angelo","Edizioni Paoline",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 3325 .M3",NULL,Italy,"250(3)p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00317,"Paths in spirituality","MACQUARRIE, John","SCM Press",NULL,NULL,1972,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notea and index",NULL,NULL,"BQT 2139 .M3",334-01243-0,London,"ix, 134p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00318,"Dizionario di Pastorale",NULL,Queriniana,NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: Lexikon der Pastoraltheologie",NULL,NULL,"BQT 2906 .D5 R3  Ref.",NULL,Brescia,"838p. ; 25cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00319,"Protestant and Roman Catholic ethics","GUSTAFSON, James M.","SCM Press",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 1716 .G8",334-01332-1,London,"xii, 192p. ; 22cm.","prospects for reapproachement",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00320,"The future of creation","MOLTMANN, Jurgen","SCM Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and index ; Translated by Margaret Kohl from the German 'Zukunft der Schopfung:  Gesammelte Aufsatze'.",NULL,NULL,"BQT 629 .M613",334-00514-0,London,"198p. ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00321,"Sin, liberty and law","MONDEN, Louis","Geoffrey Chapman",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography  and index ; Original title: Vernieuwd Geweten",NULL,NULL,"BQT 1754 .M6",NULL,London,"x, 181p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00322,Grace,"GLEASON, Robert W.","Sheed & Ward",NULL,NULL,1962,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1126 .G57",NULL,"New York","240p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00323,"Karl Rahner","VORGRIMLER, Herbert","Burns, Oates & Washbourne",NULL,NULL,1965,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes and bibliography ; Original title: Karl Rahner - Leben, Denken, Werke originally published as  Karl Rahner - Denkers over God en Wereld",NULL,NULL,"BQ 7469 .A3 V6",NULL,London,"96p. ; 19cm.","his life, thought and works",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00324,"The Study of theology","DAVIS, Charles","Sheed & Ward",NULL,NULL,1962,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 190 .D3",NULL,London,"v, 348p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00325,"The Council and reunion","KUNG, Hans","Sheed & Ward",NULL,NULL,1961,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: Konzil und Wiedervereinigung ; Includes index",NULL,NULL,"BQT 403 .K8 ; BQX 1134 .K8",NULL,London,"xii, 307p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00326,"The Eucharist","SCHILLEBEECKX, Edward","Sheed & Ward",NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1326 .S3513",7220-05,London,"160p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00327,"Theology on Dover Beach","LASH, Nicholas","Darton, Longman & Todd",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 205 .L425",0232-51433-X,London,"xix, 187p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00328,Aquinas,"COPLESTON, F.C.",Penguin,NULL,NULL,1955,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliographical notes and index",NULL,NULL,"BQ 6870 .C6",NULL,"Harmondsworth, Middlesex","272p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00329,"The Sacrifice of the Church","JUNGMANN, Joseph A.","Burns, Oates & Washbourne",NULL,NULL,1956,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: Vom Sinn der Messe als Opfer der Gemeinschaft",NULL,NULL,"BQT 1320 .J8",NULL,London,"71p. ; 19cm.","the meaning of the Mass",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00330,"The good pagan's failure","MURRAY, Rosalind","Fontana Books",NULL,NULL,1962,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 239 .M8",NULL,London,"158p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00331,"Medico-moral problems","KELLY, Gerald","Clonmore & Reynolds",NULL,NULL,1960,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1901 .2 .K4",NULL,Dublin,"viii,375p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00332,"The human element in the church of Christ","SIMON, Paul","The Mercier Press",NULL,NULL,1953,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 310 .S5",NULL,Cork,"156p. ; 19cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00333,"The Problem of God yesterday and today","MURRAY, John Courtney","Yale University Press",NULL,NULL,1964,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 517 .M8",NULL,"New Haven","vii, 121p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00334,Christology,"BONHOEFFER, Dietrich","Collins Fontana Books",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"First published in Bonhoeffer's Gesammelte Shcriften, Vol. 3, 1960",NULL,NULL,"BQT 683 .B6",NULL,London,"125p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00335,"The theology of inspiration","SCULLION, John","The Mercier Press",NULL,NULL,1970,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BS 480 .S644",85342-229-X,Cork,"96p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00336,"The Church is different ","ADOLFS, Robert","Compass Books",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes.",NULL,NULL,"BQT 310 .A3",NULL,London,"x, 150p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00337,"Mutations of Western Christianity","MIRGELER, Albert","Burns & Oates",NULL,NULL,1964,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Translation of: Ruckblick auf das abdenlandische Christentum. OK 7-May-1998 RESP translated by Edward Quinn ; with a foreword by David Knowles",NULL,NULL,"BQX 87 .M5",NULL,London,"x, 158p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00338,"Man and wife in Scirpture","GRELOT, Pierre","Burns, Oates & Washbourne",NULL,NULL,1964,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BS 1199 .M3 G7",NULL,London,"126(1)p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00339,"Who is a christian?","BALTHASAR, Hans Urs Von","Compass Books",NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes notes ; Original title: Wer ist ein Christ?",NULL,NULL,"BQT 234 .B3213",NULL,London,"126p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00340,"God's grace in history","DAVIS, Charles","Sheed & Ward",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 317 .D36",NULL,"New York","128p. ; 21cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00341,"An existential approach to theology","JANSEN, G.M.A.","Bruce Publishing Company",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQT 128 .J3",NULL,Milwakee,"xii, 128p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00342,"Church and world","BALTHASAR, Hans Urs von",Herder,NULL,NULL,1967,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 310 .B313",NULL,"New York","176p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00343,"The Resurrection","DURRWELL, F.X.","Sheed & Ward",NULL,NULL,1960,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Originally published as La Resurrection de Jesus, mystere de salut. OK 27-Apr-1995 RESP translated by Rosemary Sheed ; with an introduction by Charles Davis",NULL,NULL,"BQT 947 .D8",NULL,London,"xxvi, 371p. ; 18cm.","a biblical study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00344,"In the Redeeming Christ","DURWELL, F.X.","Sheed & Ward",NULL,NULL,1966,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Originally published as Dans le Christ redempteur",NULL,NULL,"BQT 1117 .D8",NULL,London,"xii, 365p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00345,"Christ in Christian tradition","GRILLMEIER, Aloys",Mowbrays,NULL,NULL,1975,NEW,"Jesus Christ - history of doctrines - Early church, ca. 30-600",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Contents: v.1. From the apostolic age to Chalcedon (451) -- v.2. From the  Council of Chalcedon (451) to Gregory the Great (590-604). Pt. 1. Reception  and Contradiction.  Pt. 2. The church of Constantinople in the sixth century.   Pt.4. The Church of Alexandria with Nubia and Ethiopia after 451. OK 19-Feb-1996 ; 5-May-1995",NULL,NULL,"BQT 691 .G75",NULL,London,"v. ; 24cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00346,Abortion,"GARDNER, R.F.R.","The Paternoster Press",NULL,NULL,1972,NEW,"Abortion - medical ethics ; Abortion - religious and social aspects",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1912 .3 .G37",0-85364-121-8,Exeter,"288p. ; 23cm. ","the personal dilemma ; a Christian gynaecologist examines the medical, social and spiritual issues",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00348,"A charismatic theology","MUHLEN, Heribert","Burns, Oates & Washbourne",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1219 .M7613",0-86012-064-3,London,"360p. ; 22cm.","initiation in the Spirit",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00349,"Teologia della celebrazione","PELVI, Vincenzo","M. D'Auria",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQT 4034 .P4",NULL,Napoli,"160p. ; 24cm.","saggio ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00350,"Textes Rabbiniques ","BONSIRVEN, Joseph","Pontificio Istituto Biblico",NULL,NULL,1955,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BM 177 .B6 ; BS 2390 .B6",NULL,Roma,"804p. ; 25cm.","des deux premiers siecles Chretiens, pour servir a l;intelligence du  Nouveau Testament",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00351,"Grammaire de l'Hebreu Biblique","JO�ON, Paul","Institut Boblique Pontifical",NULL,NULL,1923,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"PJ 4567 .J76",NULL,Rome,"542p. + Paradigmes et index 79p. ; 25cm.","Ouvrage couronne par l'Institut de rance (Prix Volney)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00352,"The Vedic experience - Mantramanjari",NULL,"Darton, Longman & Todd",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes indices",NULL,NULL,"BL 1115 .P3",0-232-51438-0,London,"xxxvii, 937p. ; 20cm.","an anthology of the Vedas for modern man and contemporary celebration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00353,"Religions of the world","HARDON, John A.",Doubleday,NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes references, bibliography and index",NULL,NULL,"BL 80 .2 .H3",NULL,"New York","v. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00354,"Religions of the world","HARDON, John A.",Doubleday,NULL,NULL,1968,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes references, bibliography and index",NULL,NULL,"BL 80 .2 .H3",NULL,"New York","v. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00355,"The Trinity and the religious experience of man","PANIKKAR, Raimundo","Orbis Books",NULL,NULL,1973,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 245 .P36 ; BQT 593 .P36",0-88344-495-X,"New York","xvi, 82p. ; 19cm.","icon, person, mystery",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00356,"Worship and secular man","PANIKKAR, Raimundo","Orbis Books",NULL,NULL,1973,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BL 550 .P27",0-232-51191-8,"New York","109p. ; 20cm.","an essay on the liturgical nature of man, considering secularization as a  major phenomenon of our time and worship as an apparent fact of all times ; a study towards an integral anthropology",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00357,"Saggi sul Problema di Dio",NULL,Morcelliana,NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: Die Frage nach Gott OK 18-May-1995 RESP a cura di Joseph Ratzinger ; contributi di Eugen Biser et al.",NULL,NULL,"BQT 515 .S3",NULL,Brescia,"208p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00358,"La Penitenza oggi",NULL,"M. D'Auria Editore Pontifico",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1368 .P4",NULL,Napoli,"171(2)p. ; 24cm.","aspetti teologici e pastorali del sacramento della penitenza",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00359,"Novum Testamentum",NULL,"Sumptibus Pontificii Instituti Biblici",NULL,NULL,1964,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"First edition 1933",NULL,NULL,"BS 1901 .N6  REf.",NULL,Romae,"47p. + 875p. ; 1 folding map ; 17cm.","Graece et Latine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00360,"La Chiesa nell'Eucaristia ","FORTE, Bruno","M. D'Auria",NULL,NULL,1975,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and indexes",NULL,NULL,"BQT 1318 .F6",NULL,Napoli,"357p. ; 24cm.","per un'ecclesiologia eucaristica alla luce del Vaticano II",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00361,"Community and growth","VANIER, Jean","Darton, Longman & Todd",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original title: La Communaute: lieu du pardon et de la Fete",NULL,NULL,"BQT 3325 .V3",0-232-51450-X,London,"248p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00362,"(Works) A General selection from the works of Sigmund Freud","FREUD, Sigmund","Doubleday Anchor Books",NULL,NULL,1957,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography, index and glossary OK 1-Nov-1996 RESP edited by John Rickman, M.D. ; with an appendix by Charles Brenner, M.D.",NULL,NULL,"BF 173 .A3 F7",NULL,"New York","xii, 294p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00363,"Il Sinodo die vescovi","CAPRILE, Giovanni","Edizioni ""La Civilta Cattolica""",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliographical notes andindex",NULL,NULL,"BQV 100 .1977 .C3",NULL,Roma,"xi, 635p. ; 23cm.","Quarta assemblea generale (30 settembre-29 ottobre 1977)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00364,"Chi sei Tu, o Cristo?","GALOT, Jean","Libreria Editrice Fiorentina",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 683 .G3",NULL,Firenze,"384p. ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00365,"Gesu Liberatore","GALOT, Jean","Libreria Editrice Fiorentina",NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes index",NULL,NULL,"BQT 683 .G3",NULL,Firenze,"464p. ; 22cm.","Cristologia II",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00366,"Objective knowledge","POPPER, Karl R.","The Clarendon Press",NULL,NULL,1979,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes appendices and index",NULL,NULL,"BD 161 .P727 1979",0-19-875024-2,Oxford,"395p. ; ill. ; 21cm.","an evolutionary approach",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00367,"Biblical Greek","ZERWICK, Maximilian ; English edition adapted from the fourth Latin edition by Joseph Smith",NULL,NULL,NULL,1963,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Translation of Graecitas Biblica ; Bioraphical footnotes",NULL,NULL,"PA 813 .Z413",NULL,Rome,"xv, 185p. ; 25cm.","illustrated by examples",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
