itemfield0,itemfield1,itemfield2,itemfield3,itemfield4,itemfield5,itemfield6,itemfield7,itemfield8,itemfield9,itemfield10,itemfield11,itemfield12,itemfield13,itemfield14,itemfield15,itemfield16,itemfield17,itemfield18,itemfield19,itemfield20,itemfield21,itemfield22,itemfield23,itemfield24,itemfield25,itemfield26,itemfield27,itemfield28,itemfield29,itemfield30,itemfield31,itemfield32,itemfield33,itemfield34,itemfield35,itemfield36
F00133,"ENCHIRIDION PATRISTICUM LOCOS SS. PATRUM DOCTORUM SCRIPTORUM  ECCLESIASTICORUM",NULL,"B. Herder",NULL,NULL,1913,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Inlcudes indexes",NULL,NULL,"BQ 147 .E5  REF.",NULL,"Friburgi Brisgoviae","xxv, 801p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00134,"The Dead Sea scrolls and primitive christianity","DANIELOU, Jean","New American Library",NULL,NULL,1958,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BM 487 .D2513",NULL,"New York","ix, 128p. ; 8p. of plates ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00135,"The Jerusalem Bible","general editor, Alexander Jones","Darton, Longman & Todd.",NULL,NULL,1968.,NEW,"Bible. English. Jerusalem. 1968",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"with abridged introductions and notes.",NULL,NULL,"BS 195 .J4 1968",NULL,London,"xi, 1340p. + 357p. ; 4p. maps ; 25cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00136,"Sacrae Theologiae Summa","NICOLAU, Michaele...et al.","Biblioteca de autores cristianos",NULL,NULL,1955,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 185 .S3",NULL,Matriti,"4v. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00137,"A History of the Church","HUGHES, Philip","Sheed & Ward",NULL,NULL,1948,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQX 77 .H8",NULL,London,"3v. ; maps ; 23cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00139,"Critica ed etica nella ricerca scientifica","GISMONDI, Gualberto",Marietti,NULL,NULL,1978,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and indexes",NULL,NULL,"BJ 1725 .G5",NULL,Torino,"389p. ; 25cm.","dalla critica delle scienza all'umanesimo scientifico",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00140,"The eternal feminine","LUBAC, Henri de",Collins,NULL,NULL,1971,NEW,"TEILHARD CHARDIN, Pierre",NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Translation lf: L'Eternel feminin ; Includes index",NULL,NULL,"BQ 7477 .E5",NULL,London,"272p. ; 22cm.","a study on the poem by Teilhard de Chardin, followed by Teilhard and the  problems of today",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00141,"Freedom, grace, and destiny","GUARDINI, Romano","Harvill Press",NULL,NULL,1961,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 1132 .G9 ; BQ 7425 .U27",NULL,London,"251p. ; 21cm.","three chapters in the interpretation of existence",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00142,"Life of Christ","RICCIOTTI, Giuseppe","The Mercier Press",NULL,NULL,1963,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 806 . R5",NULL,Cork,"xiii, 402p. ; maps. ; 23cm. OK 4-May-1995 RESP translated by Alba I. Zizzamia ; abridged and edited by Aloysius Croft","popular edition",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00143,"To live is Christ","GLEASON, R.W.","Sheed & Ward",NULL,NULL,1961,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,NULL,NULL,NULL,"BQT 2307 .G57",NULL,"New York","xi, 180p. ; 21cm.","nature and grace in the religious life",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00144,"The phenomenon of man","TEILHARD DE CHARDIN, Pierre","Collins Fontana Books",NULL,NULL,1965,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Originally published under the title Le Phenomene Humain, 1955",NULL,NULL,"BD 512 .T413",NULL,London,"320p. ; 18cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00145,"The Discovery of God","LUBAC, Henri De","Darton, Longman & Todd",NULL,NULL,1960,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Original French title: Sur les chemins de Dieu",NULL,NULL,"BQT 508 .L8",NULL,London,"212p. ; 20cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00146,"Les Accords de Vienne et de Rome entre le Saint-Siege et la Russie 1880-1882","OLSZAMOWSKA-SKOWRONSKA, Sophie","Universita Gregoriana Editrice",NULL,NULL,1977,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography",NULL,NULL,"BQX 2857 .O4",NULL,Roma,"xxii,556p. ; 25cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00147,"La Correspondenza des Papes et des Empereurs de Russie (1814-1878)","OLSZAMOWSKA-SKOWRONSKA, Sophie","Pontificia Universita Gregoriana",NULL,NULL,1970,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"Includes bibliography and index",NULL,NULL,"BQX 2857 .O4",NULL,Roma,"xix,386p. ; 25cm.","selon les documents authentiques",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00148,"A companion to the Summa","FARRELL, Walter","Sheed & Ward",NULL,NULL,1974,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"This edition 1974",NULL,NULL,"BQ 6840 .F3",NULL,London,"4v. in 8 ; 22cm.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F00149,"Man in history","BALTHASAR, Hans Urs von","Sheed & Ward",NULL,NULL,1982,NEW,NULL,NULL,NULL,NULL,NULL,12/09/2012,03:35,NULL,"First published 1968",NULL,NULL,"BQT 618 .B3",0-7220-5218-9,London,"x, 341p. ; 22cm.","a theological study",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
